Адр	& Знчн	& IP	& CR	& AR	& DR	& BR	& AC	& PS	& NZVC	& Адр	& Знчн\\\hline
56D	& 200	& 56D	& 0	    & 0	    & 0	    & 0	    & 0	    & 4	    & 100	& 	    & \\
56D	& 200	& 56E	& 200	& 56D	& 200	& 056D	& 0	    & 4	    & 100	& 	    & \\
56E	& EEFD	& 56F	& EEFD	& 56C	& 0	    & FFFD	& 0	    & 4	    & 100	& 56C	& 0\\
56F	& AF04	& 570	& AF04	& 56F	& 4	    & 4	    & 4	    & 0	    & 0	    & 	    & \\
570	& EEFA	& 571	& EEFA	& 56B	& 4	    & FFFA	& 4	    & 0	    & 0	    & 56B	& 4\\
571	& AEF7	& 572	& AEF7	& 569	& 057E	& FFF7	& 057E	& 0	    & 0	    & 	    & \\
572	& EEF7	& 573	& EEF7	& 56A	& 057E	& FFF7	& 057E	& 0	    & 0	    & 56A	& 057E\\
573	& AAF6	& 574	& AAF6	& 57E	& 100	& FFF6	& 100	& 0     & 0     & 56A	& 057F\\
574	& 480	& 575	& 480	& 574	& 480	& 574	& 80	& 0     & 0     &       & \\
575	& F405	& 576	& F405	& 575	& F405	& 575	& 80	& 0     & 0     &       & \\
576	& 480	& 577	& 480	& 576	& 480	& 576	& 40	& 0     & 0     &       & \\
577	& F403	& 578	& F403	& 577	& F403	& 577	& 40	& 0     & 0     &       & \\
578	& 400	& 579	& 400	& 578	& 400	& 578	& 80	& 0     & 0     &       & \\
579	& 400	& 57A	& 400	& 579	& 400	& 579	& 100	& 0     & 0     &       & \\
57A	& 6AF1	& 57B	& 6AF1	& 0	    & 0	    & FFF1	& 100	& 1     & 1     & 56C	& 1\\
57B	& 856B	& 57C	& 856B	& 56B	& 3 	& 2     & 100	& 1	    & 1     & 56B	& 3\\
57C	& CEF6	& 573	& CEF6	& 57C	& 573	& FFF6	& 100	& 1     & 1	    & 	    & \\
573	& AAF6	& 574	& AAF6	& 57F	& 683	& FFF6	& 683	& 1     & 1	    & 56A	& 580\\
574	& 480	& 575	& 480	& 574	& 480	& 574	& 8341	& 9     & 1001	& 	    & \\
575	& F405	& 57B	& F405	& 575	& F405	& 5	    & 8341	& 9     & 1001	& 	    & \\
57B	& 856B	& 57C	& 856B	& 56B	& 2	    & 1     & 8341	& 9	    & 1001	& 56B	& 2\\
57C	& CEF6	& 573	& CEF6	& 57C	& 573	& FFF6	& 8341	& 9	    & 1001	& 	    & \\
573	& AAF6	& 574	& AAF6	& 580	& 0C00	& FFF6	& 0C00	& 1	    & 1	    & 56A	& 581\\
574	& 480	& 575	& 480	& 574	& 480	& 574	& 8600	& 00A	& 1010	& 	    & \\
575	& F405	& 576	& F405	& 575	& F405	& 575	& 8600	& 00A	& 1010	& 	    & \\
576	& 480	& 577	& 480	& 576	& 480	& 576	& 4300	& 0	    & 0	    & 	    & \\
577	& F403	& 578	& F403	& 577	& F403	& 577	& 4300	& 0	    & 0	    & 	    & \\
578	& 400	& 579	& 400	& 578	& 400	& 578	& 8600	& 00A	& 1010	& 	    & \\
579	& 400	& 57A	& 400	& 579	& 400	& 579	& 0C00	& 3	    & 11	& 	    & \\
57A	& 6AF1	& 57B	& 6AF1	& 1	    & 0	    & FFF1	& 0C00	& 1	    & 1 	& 56C	& 2\\
57B	& 856B	& 57C	& 856B	& 56B	& 1	    & 0	    & 0C00	& 1	    & 1 	& 56B	& 1\\
57C	& CEF6	& 573	& CEF6	& 57C	& 573	& FFF6	& 0C00	& 1 	& 1 	&   	& \\
573	& AAF6	& 574	& AAF6	& 581	& F200	& FFF6	& F200	& 9 	& 1001	& 56A	& 582\\
574	& 480	& 575	& 480	& 574	& 480	& 574	& F900	& 00A	& 1010	&   	& \\
575	& F405	& 576	& F405	& 575	& F405	& 575	& F900	& 00A	& 1010	&   	& \\
576	& 480	& 577	& 480	& 576	& 480	& 576	& 7C80	& 0 	& 0 	&   	& \\
577	& F403	& 578	& F403	& 577	& F403	& 577	& 7C80	& 0 	& 0 	&   	& \\
578	& 400	& 579	& 400	& 578	& 400	& 578	& F900	& 00A	& 1010	&   	& \\
579	& 400	& 57A	& 400	& 579	& 400	& 579	& F200	& 9 	& 1001	&   	& \\
57A	& 6AF1	& 57B	& 6AF1	& 2 	& 0 	& FFF1	& F200	& 9 	& 1001	& 56C	& 3\\
57B	& 856B	& 57D	& 856B	& 56B	& 0 	& FFFF	& F200	& 9 	& 1001	& 56B	& 0\\
57D	& 100	& 57E	& 100	& 57D	& 100	& 057D	& F200	& 9 	& 1001	&   	& \\
