?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
56D,0200,56D,0000,000,0000,000,0000,0000,004,0100
56D,0200,56E,0200,56D,0200,000,056D,0000,004,0100
56E,EEFD,56F,EEFD,56C,0000,000,FFFD,0000,004,0100,56C,0000
56F,AF04,570,AF04,56F,0004,000,0004,0004,000,0000
570,EEFA,571,EEFA,56B,0004,000,FFFA,0004,000,0000,56B,0004
571,AEF7,572,AEF7,569,057E,000,FFF7,057E,000,0000
572,EEF7,573,EEF7,56A,057E,000,FFF7,057E,000,0000,56A,057E
573,AAF6,574,AAF6,57E,0100,000,FFF6,0100,000,0000,56A,057F
574,0480,575,0480,574,0480,000,0574,0080,000,0000
575,F405,576,F405,575,F405,000,0575,0080,000,0000
576,0480,577,0480,576,0480,000,0576,0040,000,0000
577,F403,578,F403,577,F403,000,0577,0040,000,0000
578,0400,579,0400,578,0400,000,0578,0080,000,0000
579,0400,57A,0400,579,0400,000,0579,0100,000,0000
57A,6AF1,57B,6AF1,000,0000,000,FFF1,0100,001,0001,56C,0001
57B,856B,57C,856B,56B,0003,000,0002,0100,001,0001,56B,0003
57C,CEF6,573,CEF6,57C,0573,000,FFF6,0100,001,0001
573,AAF6,574,AAF6,57F,0683,000,FFF6,0683,001,0001,56A,0580
574,0480,575,0480,574,0480,000,0574,8341,009,1001
575,F405,57B,F405,575,F405,000,0005,8341,009,1001
57B,856B,57C,856B,56B,0002,000,0001,8341,009,1001,56B,0002
57C,CEF6,573,CEF6,57C,0573,000,FFF6,8341,009,1001
573,AAF6,574,AAF6,580,0C00,000,FFF6,0C00,001,0001,56A,0581
574,0480,575,0480,574,0480,000,0574,8600,00A,1010
575,F405,576,F405,575,F405,000,0575,8600,00A,1010
576,0480,577,0480,576,0480,000,0576,4300,000,0000
577,F403,578,F403,577,F403,000,0577,4300,000,0000
578,0400,579,0400,578,0400,000,0578,8600,00A,1010
579,0400,57A,0400,579,0400,000,0579,0C00,003,0011
57A,6AF1,57B,6AF1,001,0000,000,FFF1,0C00,001,0001,56C,0002
57B,856B,57C,856B,56B,0001,000,0000,0C00,001,0001,56B,0001
57C,CEF6,573,CEF6,57C,0573,000,FFF6,0C00,001,0001
573,AAF6,574,AAF6,581,F200,000,FFF6,F200,009,1001,56A,0582
574,0480,575,0480,574,0480,000,0574,F900,00A,1010
575,F405,576,F405,575,F405,000,0575,F900,00A,1010
576,0480,577,0480,576,0480,000,0576,7C80,000,0000
577,F403,578,F403,577,F403,000,0577,7C80,000,0000
578,0400,579,0400,578,0400,000,0578,F900,00A,1010
579,0400,57A,0400,579,0400,000,0579,F200,009,1001
57A,6AF1,57B,6AF1,002,0000,000,FFF1,F200,009,1001,56C,0003
57B,856B,57D,856B,56B,0000,000,FFFF,F200,009,1001,56B,0000
57D,0100,57E,0100,57D,0100,000,057D,F200,009,1001
